;Name;price;URL;type
0;Metal Gear Solid Norma 02;0.1195;https://www.todoconsolas.com/comics/73475-comic_metal_gear_solid_norma_02_po37214-9788498146905.html;Comic
1;3x3 Eyes 14 Ivrea;0.085;https://www.todoconsolas.com/manga/115105-manga_3x3_eyes_14_ivrea_po157811-9788419010131.html;Manga
2;666 Satan Glenat 01;0.04;https://www.todoconsolas.com/manga/3638-manga_666_satan_glenat_01_po17859-9788483579312.html;Manga
3;666 Satan Glenat 02;0.04;https://www.todoconsolas.com/manga/2800-manga_666_satan_glenat_02_po17860-9788483579329.html;Manga
4;666 Satan Glenat 03;0.04;https://www.todoconsolas.com/manga/3639-manga_666_satan_glenat_03_po17861-9788483579336.html;Manga
5;666 Satan Glenat 04;0.045;https://www.todoconsolas.com/manga/3640-manga_666_satan_glenat_04_po17862-9788483579954.html;Manga
6;666 Satan Glenat 06;0.045;https://www.todoconsolas.com/manga/6546-manga_666_satan_glenat_06_po43362-9788499470146.html;Manga
7;666 Satan Glenat 07;0.045;https://www.todoconsolas.com/manga/6547-manga_666_satan_glenat_07_po43363-9788499470153.html;Manga
8;666 Satan Glenat 12;0.045;https://www.todoconsolas.com/manga/6552-manga_666_satan_glenat_12_po43368-9788499470207.html;Manga
9;666 Satan Glenat 15;0.045;https://www.todoconsolas.com/manga/43582-manga_666_satan_glenat_15_po43371-9788499470238.html;Manga
10;A Traves Del Khamsin Norma 01;0.04;https://www.todoconsolas.com/manga/78417-manga_a_traves_del_khamsin_norma_01_po127303-9788467914023.html;Manga
11;A.I Revolution Mangaline 01;0.02;https://www.todoconsolas.com/manga/5943-manga_a_i_revolution_mangaline_01_po36923.html;Manga
12;A.I Revolution Mangaline 02;0.02;https://www.todoconsolas.com/manga/5944-manga_a_i_revolution_mangaline_02_po36924.html;Manga
13;A.I Revolution Mangaline 04;0.02;https://www.todoconsolas.com/manga/5945-manga_a_i_revolution_mangaline_04_po36926.html;Manga
14;A.I Revolution Mangaline 06;0.02;https://www.todoconsolas.com/manga/5946-manga_a_i_revolution_mangaline_06_po36928.html;Manga
15;A.I Revolution Mangaline 08;0.025;https://www.todoconsolas.com/manga/5947-manga_a_i_revolution_mangaline_08_po36930.html;Manga
16;Ace Ivrea 01;0.03;https://www.todoconsolas.com/manga/116716-manga_ace_ivrea_01_po156546.html;Manga
17;Act Age Ivrea 01;0.04;https://www.todoconsolas.com/manga/26862-manga_act_age_ivrea_01_po100663-9788418061363.html;Manga
18;Act Age Ivrea 02;0.04;https://www.todoconsolas.com/manga/26863-manga_act_age_ivrea_02_po100664-9788418172021.html;Manga
19;Adolescente Pero No Inocente Ivrea 01;0.045;https://www.todoconsolas.com/manga/110296-manga_adolescente_pero_no_inocente_ivrea_01_po154094-9788416905485.html;Manga
20;Agharta 02;0.035;https://www.todoconsolas.com/manga/2999-manga_agharta_02_po26686-9788498140224.html;Manga
21;Agharta 03;0.035;https://www.todoconsolas.com/manga/44883-manga_agharta_03_po26687-9788498141566.html;Manga
22;Air Gear Norma 01;0.035;https://www.todoconsolas.com/manga/25309-manga_air_gear_norma_01_po22451-9788498472677.html;Manga
23;Air Gear Norma 02;0.035;https://www.todoconsolas.com/manga/2820-manga_air_gear_norma_02_po23351-9788498472684.html;Manga
24;Metal Gear Solid Norma 02;0.1195;https://www.todoconsolas.com/comics/73475-comic_metal_gear_solid_norma_02_po37214-9788498146905.html;Comic
25;3x3 Eyes 14 Ivrea;0.085;https://www.todoconsolas.com/manga/115105-manga_3x3_eyes_14_ivrea_po157811-9788419010131.html;Manga
26;666 Satan Glenat 01;0.04;https://www.todoconsolas.com/manga/3638-manga_666_satan_glenat_01_po17859-9788483579312.html;Manga
27;666 Satan Glenat 02;0.04;https://www.todoconsolas.com/manga/2800-manga_666_satan_glenat_02_po17860-9788483579329.html;Manga
28;666 Satan Glenat 03;0.04;https://www.todoconsolas.com/manga/3639-manga_666_satan_glenat_03_po17861-9788483579336.html;Manga
29;666 Satan Glenat 04;0.045;https://www.todoconsolas.com/manga/3640-manga_666_satan_glenat_04_po17862-9788483579954.html;Manga
30;666 Satan Glenat 06;0.045;https://www.todoconsolas.com/manga/6546-manga_666_satan_glenat_06_po43362-9788499470146.html;Manga
31;666 Satan Glenat 07;0.045;https://www.todoconsolas.com/manga/6547-manga_666_satan_glenat_07_po43363-9788499470153.html;Manga
32;666 Satan Glenat 12;0.045;https://www.todoconsolas.com/manga/6552-manga_666_satan_glenat_12_po43368-9788499470207.html;Manga
33;666 Satan Glenat 15;0.045;https://www.todoconsolas.com/manga/43582-manga_666_satan_glenat_15_po43371-9788499470238.html;Manga
